	rank	Name	shape	Length	Width	diameter	Unnamed: 6	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
223	species	Leucobacter komagatae	rods	1.0-1.5	0.2-0.3			1.224744871391589	0.2449489742783178	1.25	0.25	0.053867092866798284	0.9424777960769377	0.05726861608106394	0.9817477042468103	[1.0, 1.5]	[0.2, 0.3]	[1.0, 1.5]	[0.2, 0.3]
224	species	Leucobacter chromiireducens	rods	0.8-1.4	0.4-0.6			1.0583005244258363	0.48989794855663565	1.1	0.5	0.16870375324570125	1.6287877894350817	0.1832595714594046	1.7278759594743864	[0.8, 1.4]	[0.4, 0.6]	[0.8, 1.4]	[0.4, 0.6]
225	species	Leocubacter tardus	rods	0.8-1.6	0.4-0.6			1.131370849898476	0.48989794855663565	1.2000000000000002	0.5	0.18247718510771685	1.741247389664849	0.20289452554434081	1.884955592153876	[0.8, 1.6]	[0.4, 0.6]	[0.8, 1.6]	[0.4, 0.6]
226	species	Microcella putealis	rods	0.8-1.6	0.4			1.131370849898476	0.4	1.2000000000000002	0.4	0.12541709320192215	1.4217225402106772	0.13404128655316455	1.5079644737231008	[0.8, 1.6]	[0.4, 0.4]	[0.8, 1.6]	[0.4, 0.4]
227	species	Microcella alkaliphila	rods	3.0-4.0	0.3			3.464101615137755	0.3	3.5	0.3	0.23779433070104242	3.2648388556215924	0.2403318379996192	3.2986722862692828	[3.0, 4.0]	[0.3, 0.3]	[3.0, 4.0]	[0.3, 0.3]
228	species	Mycetocola saprophilus	rods	2.0-3.5	0.2-0.4			2.6457513110645907	0.28284271247461906	2.75	0.30000000000000004	0.16031361372377723	2.3509526717078	0.18731746197029148	2.5918139392115798	[2.0, 3.5]	[0.2, 0.4]	[2.0, 3.5]	[0.2, 0.4]
229	species	Mycetocola lacteus	rods	2.0-3.5	0.2-0.4			2.6457513110645907	0.28284271247461906	2.75	0.30000000000000004	0.16031361372377723	2.3509526717078	0.18731746197029148	2.5918139392115798	[2.0, 3.5]	[0.2, 0.4]	[2.0, 3.5]	[0.2, 0.4]
230	species	Mycetocola tolaasinivorans	rods	2.0-3.5	0.2-0.4			2.6457513110645907	0.28284271247461906	2.75	0.30000000000000004	0.16031361372377723	2.3509526717078	0.18731746197029148	2.5918139392115798	[2.0, 3.5]	[0.2, 0.4]	[2.0, 3.5]	[0.2, 0.4]
231	species	Rathayibacter toxicus	rods	1.5	0.6-0.75			1.5	0.6708203932499369	1.5	0.675	0.45111459456906944	3.161166628968327	0.4562549737024021	3.1808625617596658	[1.5, 1.5]	[0.6, 0.75]	[1.5, 1.5]	[0.6, 0.75]
232	species	Rhodoglobus vestalii	rods	1-1.2	0.15-0.2			1.0954451150103321	0.17320508075688773	1.1	0.175	0.02445046791977898	0.596075295947766	0.02505501953546547	0.6047565858160352	[1.0, 1.2]	[0.15, 0.2]	[1.0, 1.2]	[0.15, 0.2]
233	species	Salinibactdrium xinjiangense	rods	1.4-2.3	0.5-0.8			1.7944358444926358	0.6324555320336759	1.8499999999999999	0.65	0.49750805820098537	3.5653962568840916	0.541990182591189	3.7777651659417253	[1.4, 2.3]	[0.5, 0.8]	[1.4, 2.3]	[0.5, 0.8]
234	species	Subtercola boreus	rods	0.6-1.0	0.2-0.3			0.7745966692414834	0.2449489742783178	0.8	0.25	0.032654358593276915	0.596075295947766	0.0351792927355107	0.6283185307179586	[0.6, 1.0]	[0.2, 0.3]	[0.6, 1.0]	[0.2, 0.3]
235	species	Subtercola frigoramans	rods	0.9-1.5	0.3-0.4			1.161895003862225	0.34641016151377546	1.2	0.35	0.09862322806588221	1.2644666515873306	0.10422888126753634	1.319468914507713	[0.9, 1.5]	[0.3, 0.4]	[0.9, 1.5]	[0.3, 0.4]
236	species	Yonghaparkia alkaliphilia	rods	0.6-1.4	0.2-0.4			0.916515138991168	0.28284271247461906	1.0	0.30000000000000004	0.05166250063362516	0.814393894717541	0.06361725123519332	0.942477796076938	[0.6, 1.4]	[0.2, 0.4]	[0.6, 1.4]	[0.2, 0.4]
237	species	Promicromonospora aerolata	rods-coccus	0.6-1.5	0.3-0.5			0.9486832980505138	0.3872983346207417	1.05	0.4	0.09655494795530509	1.1542948471456778	0.11519173063162577	1.3194689145077132	[0.6, 1.5]	[0.3, 0.5]	[0.6, 1.5]	[0.3, 0.5]
238	species	Promicromonospora vindobonensis	rods-coccus	0.6-1.6	0.3-0.6			0.9797958971132713	0.42426406871192845	1.1	0.44999999999999996	0.11852240843576863	1.3059355422486367	0.1510909716835841	1.5550883635269475	[0.6, 1.6]	[0.3, 0.6]	[0.6, 1.6]	[0.3, 0.6]
239	species	Isoptericola variabilis	coccus	0.25	0.25			0.25	0.25	0.25	0.25	0.008181230868723419	0.19634954084936207	0.008181230868723419	0.19634954084936207	[0.25, 0.25]	[0.25, 0.25]	[0.25, 0.25]	[0.25, 0.25]
240	species	Isoptericola dokdonensis	rods	0.8-4.5	0.8-1.1			1.8973665961010278	0.938083151964686	2.65	0.9500000000000001	1.0952468075827204	5.591681924309634	1.6539176324211264	7.908959505412304	[0.8, 4.5]	[0.8, 1.1]	[0.8, 4.5]	[0.8, 1.1]
241	species	Isoptericola hypogeus	coccus	0.8-1.0	0.8-1.0			0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
242	species	Xylanibacterium ulmoi	coccus	1.1	0.8			1.1	0.8	1.1	0.8	0.4188790204786391	2.7646015351590183	0.4188790204786391	2.7646015351590183	[1.1, 1.1]	[0.8, 0.8]	[1.1, 1.1]	[0.8, 0.8]
243	species	Xylanimicrobium pachnodae	rods	0.6-3.0	0.4-0.6			1.3416407864998738	0.48989794855663565	1.8	0.5	0.22211213439358143	2.0648653954363714	0.32070425005395803	2.827433388230814	[0.6, 3.0]	[0.4, 0.6]	[0.6, 3.0]	[0.4, 0.6]
244	species	Xylanimonas cellulosilytica	coccus	1.1	0.8			1.1	0.8	1.1	0.8	0.4188790204786391	2.7646015351590183	0.4188790204786391	2.7646015351590183	[1.1, 1.1]	[0.8, 0.8]	[1.1, 1.1]	[0.8, 0.8]
245	species	Ruania albidiflava	coccus	0.5-0.8	0.5-0.8			0.6324555320336759	0.6324555320336759	0.65	0.65	0.13246117687728134	1.2566370614359175	0.14379331374868284	1.3273228961416876	[0.5, 0.8]	[0.5, 0.8]	[0.5, 0.8]	[0.5, 0.8]
246	species	Haloactinobacterium album	rods	0.6-0.7	0.3-0.4			0.648074069840786	0.34641016151377546	0.6499999999999999	0.35	0.05019674591841024	0.7052858015123398	0.05131268000863327	0.7147123286916779	[0.6, 0.7]	[0.3, 0.4]	[0.6, 0.7]	[0.3, 0.4]
247	species	Propionibacterium propionicum	rods	3.0-5.0	0.2-0.3		page 1156	3.872983346207417	0.2449489742783178	4.0	0.25	0.17866239092832692	2.98037647973883	0.19225892541500036	3.141592653589793	[3.0, 5.0]	[0.2, 0.3]	[3.0, 5.0]	[0.2, 0.3]
