	Name	Shape	Length	Width	Diameter	Subspecies	File #	Notes	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
46	Methanococcus vannielli	spherical	1.0-2.0	1.0-2.0		No	9		1.414213562373095	1.414213562373095	1.5	1.5	1.4809609793861214	6.283185307179585	1.7671458676442586	7.0685834705770345	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]
47	Methanococcus maripaludis	spherical	1.0-2.0	1.0-2.0		No	9		1.414213562373095	1.414213562373095	1.5	1.5	1.4809609793861214	6.283185307179585	1.7671458676442586	7.0685834705770345	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]
48	Methanococcus voltae	spherical	1.0-2.0	1.0-2.0		No	9		1.414213562373095	1.414213562373095	1.5	1.5	1.4809609793861214	6.283185307179585	1.7671458676442586	7.0685834705770345	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]
49	Methanothermococcus thermolithotrophicus	spherical	1.0-2.0	1.0-2.0		No	9		1.414213562373095	1.414213562373095	1.5	1.5	1.4809609793861214	6.283185307179585	1.7671458676442586	7.0685834705770345	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]
50	Methanocaldococcus jannaschü	spherical	1.5	1.5		No	9		1.5	1.5	1.5	1.5	1.7671458676442586	7.0685834705770345	1.7671458676442586	7.0685834705770345	[1.5, 1.5]	[1.5, 1.5]	[1.5, 1.5]	[1.5, 1.5]
51	Methanocaldococcus fervens	spherical	1.2	1.2		No	9		1.2	1.2	1.2	1.2	0.9047786842338604	4.523893421169302	0.9047786842338604	4.523893421169302	[1.2, 1.2]	[1.2, 1.2]	[1.2, 1.2]	[1.2, 1.2]
52	Methanocaldococcus infernus	spherical	1.3	1.3		No	9		1.3	1.3	1.3	1.3	1.1503465099894628	5.3092915845667505	1.1503465099894628	5.3092915845667505	[1.3, 1.3]	[1.3, 1.3]	[1.3, 1.3]	[1.3, 1.3]
53	Methanocaldococcus vulcanius	spherical	1.3	1.3		No	9		1.3	1.3	1.3	1.3	1.1503465099894628	5.3092915845667505	1.1503465099894628	5.3092915845667505	[1.3, 1.3]	[1.3, 1.3]	[1.3, 1.3]	[1.3, 1.3]
54	Methanotorris igneus	spherical	1.2	1.2		No	9		1.2	1.2	1.2	1.2	0.9047786842338604	4.523893421169302	0.9047786842338604	4.523893421169302	[1.2, 1.2]	[1.2, 1.2]	[1.2, 1.2]	[1.2, 1.2]
55	Methanomicrobium mobile	rod	1.5-2.0	0.7		No	9		1.7320508075688772	0.7	1.75	0.7	0.5767740763409667	3.8089786648918573	0.5836817350982035	3.8484510006474966	[1.5, 2.0]	[0.7, 0.7]	[1.5, 2.0]	[0.7, 0.7]
