	Length	taxID	Name	Width	shape	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
40	1 - 1.2	1129	Synechococcus	1 - 1.2	sphere/spheroid	1.0954451150103321	1.0954451150103321	1.1	1.1	0.6882884651454569	3.7699111843077513	0.696909970321336	3.8013271108436504	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]	[1.0, 1.2]
41	1.2 - 1.4	167375	Cyanobium	1.2 - 1.4	sphere/spheroid	1.296148139681572	1.296148139681572	1.2999999999999998	1.2999999999999998	1.1401514526045566	5.277875658030852	1.150346509989462	5.309291584566749	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]
42	4	1142	Synechocystis	4	sphere/spheroid	4.0	4.0	4.0	4.0	33.510321638291124	50.26548245743669	33.510321638291124	50.26548245743669	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]
43	6.3	118675	Chroococcidiopsis sp. PCC 6712	6.3	sphere/spheroid	6.3	6.3	6.3	6.3	130.92430304202782	124.68981242097887	130.92430304202782	124.68981242097887	[6.3, 6.3]	[6.3, 6.3]	[6.3, 6.3]	[6.3, 6.3]
44	0.8 - 1	167375	Cyanobium	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
45	1.2 - 1.4	33070	Thermostichus lividus	1.2 - 1.4	sphere/spheroid	1.296148139681572	1.296148139681572	1.2999999999999998	1.2999999999999998	1.1401514526045566	5.277875658030852	1.150346509989462	5.309291584566749	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]
46	1.2 - 1.4	32048	Synechococcus sp. PCC 6716	1.2 - 1.4	sphere/spheroid	1.296148139681572	1.296148139681572	1.2999999999999998	1.2999999999999998	1.1401514526045566	5.277875658030852	1.150346509989462	5.309291584566749	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]
47	1.2 - 1.4	115741	Synechococcus sp. PCC 6717	1.2 - 1.4	sphere/spheroid	1.296148139681572	1.296148139681572	1.2999999999999998	1.2999999999999998	1.1401514526045566	5.277875658030852	1.150346509989462	5.309291584566749	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]	[1.2, 1.4]
49	3 - 3.5	1177	Nostoc	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
51	2 - 2.5	118173	Pseudanabaena sp.	2 - 2.5	sphere/spheroid	2.23606797749979	2.23606797749979	2.25	2.25	5.854012275867273	15.707963267948967	5.964117303299373	15.904312808798327	[2.0, 2.5]	[2.0, 2.5]	[2.0, 2.5]	[2.0, 2.5]
52	2.3 - 2.5	2174229	Synechocystis sp.	2.3 - 2.5	sphere/spheroid	2.3979157616563596	2.3979157616563596	2.4	2.4	7.219388101549008	18.064157758141306	7.2382294738708834	18.09557368467721	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]
53	6-7	1142	Synechocystis	6-7	sphere/spheroid	6.4807406984078595	6.4807406984078595	6.5	6.5	142.51893157556958	131.9468914507713	143.7933137486828	132.73228961416876	[6.0, 7.0]	[6.0, 7.0]	[6.0, 7.0]	[6.0, 7.0]
54	2.3 - 2.5	1142	Synechocystis	2.3 - 2.5	sphere/spheroid	2.3979157616563596	2.3979157616563596	2.4	2.4	7.219388101549008	18.064157758141306	7.2382294738708834	18.09557368467721	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]
55	2.3 - 2.5-6-7	1142	Synechocystis	2.3 - 2.5-6-7	sphere/spheroid	3.9421149485929567	3.9421149485929567	4.45	4.45	32.07646300423636	48.821198908497514	46.140113154344654	62.211388522711886	[2.3, 7.0]	[2.3, 7.0]	[2.3, 7.0]	[2.3, 7.0]
56	6	1142	Synechocystis	6	sphere/spheroid	6.0	6.0	6.0	6.0	113.09733552923255	113.09733552923255	113.09733552923255	113.09733552923255	[6.0, 6.0]	[6.0, 6.0]	[6.0, 6.0]	[6.0, 6.0]
57	1.3 - 1.8	47918	Pseudanabaena galeata PCC 6901	1.3 - 1.8	sphere/spheroid	1.5297058540778354	1.5297058540778354	1.55	1.55	1.8742279425964483	7.351326809400116	1.9498163904811152	7.547676350249478	[1.3, 1.8]	[1.3, 1.8]	[1.3, 1.8]	[1.3, 1.8]
59	2.5 - 3	102126	Pseudanabaena sp. PCC 6903	2.5 - 3	sphere/spheroid	2.738612787525831	2.738612787525831	2.75	2.75	10.754507267897774	23.561944901923457	10.889218286270872	23.758294442772808	[2.5, 3.0]	[2.5, 3.0]	[2.5, 3.0]	[2.5, 3.0]
60	0.8 - 1	167375	Cyanobium	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
61	2.3 - 2.5	1142	Synechocystis	2.3 - 2.5	sphere/spheroid	2.3979157616563596	2.3979157616563596	2.4	2.4	7.219388101549008	18.064157758141306	7.2382294738708834	18.09557368467721	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]
63	0.8 - 1	167375	Cyanobium	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
64	5 - 6	197232	Gloeothece tepidariorum PCC 6909	5 - 6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
65	5 - 6	28070	Gloeothece	5 - 6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
66	3 - 3.5	43988	Cyanothece	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
