taxid	length	width	volume	surface	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid186826	2.022212581061741	0.7576089578009659	0.7572304390679059	4.813065608353713	Lactobacillales	Bacilli	Firmicutes	Bacteria	order	N3048	2043439.0	39.05	2081.0	87.53048575512594	1.0	-0.673171396056138	0.24146539444572798
txid188710	1.4217842556092035	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteriales	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria	order	N3841	1787382.0	37.1	1780.0	93.52278428271387	1.0	-0.10660686594818199	0.0418535073575966
txid189769	3.7416573867739413	0.12247448713915887	0.043599406408210535	1.4396586137792406	Chrysiogenales	Chrysiogenetes	Chrysiogenetes	Bacteria	order	N963	2876769.0	53.08	2603.0	91.30657644818328	2.5	-0.15615987744033552	0.07238422967421079
txid189772	1.2	0.7	0.3720169300625912	2.638937829015426	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria	order	N1779	6140412.0	50.9	5445.0	88.78438065089462	3.0	-0.390051482527152	0.171602610949932
txid191393	2.308667154536208	0.4045391320890646	0.27813501578854993	2.9340785426920477	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria	order	N964	2542933.0	38.29	2468.0	91.48626801904486	2.0	-0.19743005531608301	0.0936556652141579
txid200644	2.188809717433223	0.4671184794223803	0.34247040699897896	3.212069468561805	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	order	N4526	3801142.0	35.83	3409.0	90.22332032561349	1.0	-0.34782347688646303	0.15502018644295598
txid200666	1.7014141897006825	0.5355846751762563	0.3376231227825087	2.8627805974111693	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria	order	N4895	5329010.0	40.42	4795.0	89.16075025045707	1.0	-0.594536383315904	0.242024257305489
txid203487	13.160740129524925	0.4119534287814236	1.7339583919197203	17.032496497858244	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria	order	N21	1898865.0	33.87	1859.0	93.7772546450563	2.0	-0.0644293985559321	0.0302048386939695
txid203491	2.7171431064822897	0.5960181201464558	0.6731091276568134	5.087704142369624	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria	order	N65	2299989.5	29.58	2270.5	90.77298549168115	1.0	-0.341633517584511	0.1563769629794295
txid204433	1.742391751708568	0.6426590910199163	0.4889728607713823	3.517842039964417	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria	order	N3465	5048131.5	57.73	4248.5	88.8327878027838	1.0	-0.242949294411189	0.09537846797001245
txid204441	1.9630104978259195	0.7333298766279541	0.7022053450951651	4.522430212421612	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N3159	3977320.5	61.685	3802.0	89.53054359892813	1.0	-0.31669652039094354	0.12577145281976548
txid204455	1.7293200729360572	0.6701158521061293	0.5207380119989458	3.6406182922344668	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N4218	4063547.0	62.29	3986.0	90.22082569885802	1.0	-0.352703478686492	0.1385238006467585
txid204457	1.3890365017422177	0.5358744685919979	0.2684806227561231	2.338441969710657	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N4217	3867323.0	64.43	3582.0	90.83437873497627	1.0	-0.37675343637306397	0.13515526097055047
txid204458	1.905045038380448	0.5579978337517342	0.4152297062698879	3.3395475627860374	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N5754	4042929.0	67.42	3724.0	90.22780821513014	1.0	-0.41155648041157	0.147070974628571
txid206351	1.6127398098919723	0.5915311670554096	0.3786443604951655	2.9970349753802203	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	order	N2828	2848002.0	55.83	2740.0	87.22751571029718	1.0	-0.692178763453152	0.27402301494479997
txid213113	1.7368487567540067	0.5425826830234938	0.3582048587077918	2.9605868348728586	Desulfurellales	Deltaproteobacteria	Proteobacteria	Bacteria	order	N1153	1742311.0	37.03	1737.0	95.1824240047651	2.0	-0.0706865220911723	0.0257952888290907
txid213115	2.473043613575478	0.6035042882224252	0.6446313815465808	4.68880324028681	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria	order	N2809	3672704.0	57.6	3306.5	87.3892472489154	1.5	-0.2521136399881985	0.10288831928852091
txid213481	0.95	0.5	0.15380714033200027	1.4922565104551515	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria	order	N1897	3539424.0	45.43	3396.0	92.5332610793164	1.0	-0.600469761008731	0.22346093652094898
txid213849	1.8997308214964148	0.4604424272805753	0.2847294798706005	2.7480034664222557	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria	order	N1375	1960111.0	36.21	2079.0	93.07139448696577	2.0	-0.24989411454631197	0.10621584171025399
txid218872	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria	order	N2167	3602172.0	48.42	3062.5	91.29217039053104	1.0	-0.556411675883155	0.19818346633718803
txid219686	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria	order	N2165	2292818.0	64.67500000000001	2378.5	93.04081205059308	0.5	-0.09863716567227315	0.03635752671849035
txid225057	1.3643500455889714	1.0298835719535588	0.8352306945089237	4.414320004923943	Acidithiobacillales	Acidithiobacillia	Proteobacteria	Bacteria	order	N1639	3400745.0	53.165	3905.0	89.53938665170847	1.0	-0.15218212662062952	0.0651642268807799
txid235899	1.347094970635097	0.5185373883718335	0.24522659207112416	2.194462497965373	Nautiliales	Epsilonproteobacteria	Proteobacteria	Bacteria	order	N1374	1663618.0	31.43	1773.0	93.59804955224094	4.0	-0.18080891521742	0.0852250356785192
txid255473	1.4295196269765478	0.6563046383179032	0.4050166959725954	2.947443364072816	Parvularculales	Alphaproteobacteria	Proteobacteria	Bacteria	order	N5326	3128573.5	64.05	2915.5	91.40453974133769	1.0	-0.13662177733551956	0.05711081087357715
txid278081	0.8	0.8	0.26808257310632905	2.010619298297468	Lentisphaerales	Lentisphaeria	Lentisphaerae	Bacteria	order	G000170755	6023180.0	40.95	4965.0	88.38628432157101	3.0	-0.637921723662759	0.237219146040705
