Taxon	Count	Consistency
s__Desulfovibrio litoralis	1	1.000
s__Pyrobaculum ferrireducens	1	1.000
s__Alloprevotella rava	1	1.000
s__Candidatus Tagabacteria bacterium RIFCSPLOWO2_01_FULL_39_11	1	1.000
s__Novosphingopyxis baekryungensis	1	1.000
s__Brucella suis	1	1.000
s__Halogeometricum borinquense	1	1.000
s__Anaerostipes hadrus	1	1.000
s__Prevotella sp. RM4	1	1.000
s__Sutterella sp. CAG:397	1	1.000
s__Actinobacteria bacterium OK074	1	1.000
s__Bartonella senegalensis	1	1.000
s__Mucilaginibacter pedocola	1	1.000
s__Thermovenabulum gondwanense	1	1.000
s__Dolosicoccus paucivorans	1	1.000
s__Candidatus Woesebacteria bacterium RIFOXYB1_FULL_47_31	1	1.000
s__Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_40_15	1	1.000
s__Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_12_FULL_47_17	1	1.000
s__Flavobacterium cauense	1	1.000
s__Spirochaetes bacterium GWF1_51_8	1	1.000
s__Synechococcus sp. PCC 7335	1	1.000
s__Synechococcus sp. PCC 7336	1	1.000
s__Bifidobacterium subtile	1	1.000
s__Desulfonatronovibrio hydrogenovorans	1	1.000
s__Candidatus Methanomassiliicoccus intestinalis	1	1.000
s__Elusimicrobia bacterium RIFOXYB12_FULL_50_12	1	1.000
s__Candidatus Arthromitus sp. SFB-mouse-SU	1	1.000
s__Helicobacter fennelliae	1	1.000
s__Acidibacillus ferrooxidans	1	1.000
s__Ventosimonas gracilis	1	1.000
s__Aureimonas sp. Leaf324	1	1.000
s__Thermococcus sp. 2319x1	1	1.000
s__Candidatus Moranbacteria bacterium RIFOXYC1_FULL_44_8	1	1.000
s__Microbacterium luticocti	1	1.000
s__Actinobacteria bacterium BACL2 MAG-121220-bin52	1	1.000
s__Prevotella sp. P6B4	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_47_20	1	1.000
s__Prevotella sp. P6B1	1	1.000
s__Candidatus Phytoplasma tritici	1	1.000
s__Ruminococcus sp. CAG:403	1	1.000
s__Bacillus sp. 1NLA3E	1	1.000
s__Phycicoccus sp. Soil748	1	1.000
s__Pelagibacterium halotolerans	1	1.000
s__Oribacterium sp. KHPX15	1	1.000
s__Lactobacillus hominis	2	1.000
s__candidate division WWE3 bacterium GW2011_GWA1_41_8	1	1.000
s__Nostoc sp. PCC 7107	1	1.000
s__Vulcanisaeta sp. OSP_8	1	1.000
s__Candidatus Moranbacteria bacterium GW2011_GWF2_36_839	1	1.000
s__Candidatus Neoehrlichia lotoris	1	1.000
s__Armatimonadetes bacterium JGI 0000077-K19	1	1.000
s__Candidatus Doudnabacteria bacterium RIFCSPHIGHO2_01_FULL_50_11	1	1.000
s__Halomonas xinjiangensis	1	1.000
s__Firmicutes bacterium CAG:466	1	1.000
s__Natronincola peptidivorans	1	1.000
s__Aliihoeflea sp. 2WW	1	1.000
s__Bacillus anthracis	2	1.000
s__Candidatus Amesbacteria bacterium RIFCSPHIGHO2_02_FULL_48_21	1	1.000
s__Ectothiorhodosinus mongolicus	1	1.000
s__Parascardovia denticolens	1	1.000
s__Candidatus Nomurabacteria bacterium RIFCSPLOWO2_01_FULL_42_17	1	1.000
s__Faecalibacterium sp. CAG:82-related_59_9	1	1.000
s__Megasphaera elsdenii	1	1.000
s__Idiomarina zobellii	1	1.000
s__Bacillus sp. UNC322MFChir4.1	1	1.000
s__Salinispora tropica	1	1.000
s__Streptomyces himastatinicus	1	1.000
s__Sphingomonas paucimobilis	1	1.000
s__Mesoaciditoga lauensis	1	1.000
s__Lacimicrobium alkaliphilum	1	1.000
s__Rickettsiales bacterium Ac37b	1	1.000
s__Marinobacterium sp. AK27	1	1.000
s__Candidatus Curtissbacteria bacterium GW2011_GWA1_40_16	1	1.000
s__Microbacterium sp. CF335	1	1.000
s__Knoellia sp. Soil729	1	1.000
s__Candidatus Kerfeldbacteria bacterium RIFCSPHIGHO2_02_FULL_42_14	1	1.000
s__Desulfobacterales bacterium S7086C20	1	1.000
s__Anaerofustis stercorihominis	1	1.000
s__Candidatus Beckwithbacteria bacterium GW2011_GWA2_43_10	1	1.000
s__Fictibacillus macauensis	1	1.000
s__Sulfuricurvum sp. GWF2_44_89	1	1.000
s__Candidatus Uhrbacteria bacterium RIFOXYB12_FULL_58_10	1	1.000
s__Candidatus Blochmannia vafer	1	1.000
s__Synechococcus sp. KORDI-49	1	1.000
s__Actinomyces graevenitzii	1	1.000
s__Methanoculleus chikugoensis	1	1.000
s__Candidatus Daviesbacteria bacterium RIFCSPLOWO2_02_FULL_36_7	1	1.000
s__Bosea sp. LC85	1	1.000
s__Colwellia sp. MT41	1	1.000
s__Thermus thermophilus	1	1.000
s__Aurantiacibacter luteus	1	1.000
s__Prevotella sp. AGR2160	1	1.000
s__Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_02_FULL_47_17	1	1.000
s__Candidatus Wildermuthbacteria bacterium RIFCSPHIGHO2_02_FULL_47_12	1	1.000
s__Chlorobium limicola	1	1.000
s__Candidatus Methanosuratus petracarbonis	1	1.000
s__Atopobacter phocae	1	1.000
s__Dyadobacter crusticola	1	1.000
s__Paenibacillus sp. D9	1	1.000
s__Paenibacillus curdlanolyticus	1	1.000
s__Archaeoglobus fulgidus	4	1.000
s__Clostridium homopropionicum	1	1.000
s__Brevibacillus panacihumi	1	1.000
s__Candidatus Hydrothermarchaeum profundi	1	1.000
s__Clostridium sp. HMP27	1	1.000
s__Novosphingobium barchaimii	2	0.500
s__Alkalihalobacillus akibai	1	1.000
s__Paenibacillus sophorae	1	1.000
s__Fischerella sp. NIES-3754	1	1.000
s__Alteromonadales bacterium BS08	1	1.000
s__Erwinia typographi	1	1.000
s__Symbiobacterium thermophilum	1	1.000
s__Candidatus Falkowbacteria bacterium RIFOXYD2_FULL_35_9	1	1.000
s__Mucilaginibacter sp. 44-25	1	1.000
s__Erysipelotrichaceae bacterium I46	1	1.000
s__candidate division WWE3 bacterium RIFCSPLOWO2_12_FULL_36_10	1	1.000
s__Teredinibacter turnerae	6	1.000
s__Vulcanisaeta sp. JCM 14467	1	1.000
s__Candidatus Woesebacteria bacterium RIFOXYA1_FULL_38_9	1	1.000
s__Acidobacteria bacterium 13_1_20CM_2_55_15	1	1.000
s__Sulfurospirillum barnesii	1	1.000
s__Sagittula stellata	1	1.000
s__Candidatus Chisholmbacteria bacterium RIFCSPHIGHO2_01_FULL_52_32	1	1.000
s__Streptococcus porci	1	1.000
s__Gordonia araii	1	1.000
s__Alloprevotella tannerae	1	1.000
s__Desulfurobacterium thermolithotrophum	1	1.000
s__Puniceicoccales bacterium Verruco_02	1	1.000
s__Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_38_15	1	1.000
s__Candidatus Bathyarchaeota archaeon B24	1	1.000
s__Acinetobacter ursingii	1	1.000
s__Alteribacillus bidgolensis	1	1.000
s__Gordonibacter pamelaeae	1	1.000
s__Caldicellulosiruptor sp. F32	1	1.000
s__Parasporobacterium paucivorans	1	1.000
s__Nitrospirae bacterium 13_2_20CM_2_63_8	1	1.000
s__Alcanivorax hongdengensis	1	1.000
s__Atopobium sp. oral taxon 199	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_41_35	1	1.000
s__candidate division WWE3 bacterium GW2011_GWC2_44_9	1	1.000
s__Hirschia maritima	1	1.000
s__[Clostridium] cellulosi	1	1.000
s__Pseudorhodobacter wandonensis	1	1.000
s__Siphonobacter aquaeclarae	1	1.000
s__Peptoniphilus obesi	1	1.000
s__Clostridium sp. CAG:307	1	1.000
s__Clostridium sp. CAG:306	1	1.000
s__Pontibacter korlensis	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_12_FULL_45_19	1	1.000
s__Rhodococcus hoagii	1	1.000
s__Friedmanniella luteola	1	1.000
s__Halococcus thailandensis	1	1.000
s__Cellulomonas sp. URHE0023	1	1.000
s__Legionella fallonii	1	1.000
s__Eudoraea adriatica	1	1.000
s__Rhodovibrio salinarum	1	1.000
s__Candidatus Liberibacter asiaticus	9	1.000
s__Deltaproteobacteria bacterium RIFOXYC2_FULL_48_10	1	1.000
s__Alicyclobacillus macrosporangiidus	1	1.000
s__Candidatus Liptonbacteria bacterium RIFOXYD1_FULL_36_11	1	1.000
s__Eubacterium ventriosum	1	1.000
s__Alteribacter aurantiacus	1	1.000
s__Actinoplanes utahensis	1	1.000
s__Actinomyces ihuae	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_43_44	1	1.000
s__Hadesarchaea archaeon YNP_N21	1	1.000
s__Candidatus Melainabacteria bacterium RIFOXYA12_FULL_32_12	1	1.000
s__Desulfobulbus propionicus	1	1.000
s__Methanothermococcus thermolithotrophicus	1	1.000
s__Thermoactinomyces sp. AS95	1	1.000
s__Leptospira borgpetersenii	1	1.000
s__Acetomicrobium hydrogeniformans	1	1.000
s__Mycolicibacterium acapulense	1	1.000
s__Campylobacter jejuni	1	1.000
s__Sandarakinorhabdus sp. AAP62	1	1.000
s__Butyrivibrio crossotus CAG:259	1	1.000
s__Cyanothece sp. PCC 7425	1	1.000
s__Limnobacter sp. MED105	1	1.000
s__actinobacterium SCGC AAA028-A23	1	1.000
s__Flavihumibacter sp. ZG627	1	1.000
s__Daejeonella oryzae	1	1.000
s__Palaeococcus pacificus	1	1.000
s__Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_02_FULL_37_45	1	1.000
s__Calothrix sp. PCC 6303	1	1.000
s__Candidatus Moranbacteria bacterium GW2011_GWF1_44_4	1	1.000
s__Thermonema rossianum	1	1.000
s__Murdochiella vaginalis	1	1.000
s__Psychrilyobacter atlanticus	1	1.000
s__Sutterella parvirubra	1	1.000
s__zeta proteobacterium SCGC AB-604-O16	1	1.000
s__Streptococcus ovis	1	1.000
s__[Eubacterium] yurii	1	1.000
s__Aurantimonas manganoxydans	1	1.000
s__Planctomycetes bacterium RBG_13_44_8b	1	1.000
s__Rhodanobacter thiooxydans	1	1.000
s__Acetobacterium woodii	1	1.000
s__Rhodococcus fascians	2	1.000
s__Paraburkholderia xenovorans	1	1.000
s__Noviherbaspirillum autotrophicum	1	1.000
s__Thaumarchaeota archaeon 13_1_40CM_3_38_6	1	1.000
s__Candidatus Shapirobacteria bacterium RIFOXYC1_FULL_38_24	1	1.000
s__Candidatus Woykebacteria bacterium RIFCSPHIGHO2_12_FULL_45_10	1	1.000
s__Brevibacillus centrosporus	1	1.000
s__Mycetocola saprophilus	1	1.000
s__Rickettsia prowazekii	1	1.000
s__Azospirillum brasilense	1	1.000
s__Armatimonadetes bacterium RBG_16_58_9	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_12_45_16	1	1.000
s__Eubacterium sp. 45_250	1	1.000
s__Gallionellales bacterium RIFOXYB12_FULL_54_9	1	1.000
s__Acetobacter sp. CAG:977	1	1.000
s__Octadecabacter arcticus	1	1.000
s__Staphylococcus xylosus	1	1.000
s__Streptomyces nodosus	1	1.000
s__Eubacterium sp. AB3007	1	1.000
s__Enterococcus saccharolyticus	1	1.000
s__Holospora obtusa	1	1.000
s__Sulfurimonas gotlandica	1	1.000
s__alpha proteobacterium SCGC AAA487-M09	1	1.000
s__Culturomica massiliensis	1	1.000
s__Bradyrhizobium sp. LTSP885	1	1.000
s__Aquimarina spongiae	1	1.000
s__Cohnella kolymensis	1	1.000
s__Thermodesulfatator indicus	1	1.000
s__Sphingomonas echinoides	1	1.000
s__Acidobacteriaceae bacterium URHE0068	1	1.000
s__Jonquetella anthropi	2	1.000
s__Devosia psychrophila	1	1.000
s__Prochlorococcus sp. scB243_497E17	1	1.000
s__Candidatus Curtissbacteria bacterium RIFCSPLOWO2_02_FULL_40_11	1	1.000
s__Solirubrobacter sp. URHD0082	1	1.000
s__Marine Group I thaumarchaeote SCGC AAA799-E16	1	1.000
s__Liquorilactobacillus vini	1	1.000
s__Syntrophomonas sp. DTU018	1	1.000
s__Syntrophomonas sp. DTU019	1	1.000
s__Methylobacterium sp. Leaf99	1	1.000
s__Fusobacterium ulcerans	1	1.000
s__Hydrogenedentes bacterium JGI 0000077-D07	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_51_15	1	1.000
s__Butyricicoccus pullicaecorum	1	1.000
s__Pricia antarctica	1	1.000
s__Candidatus Methanohalarchaeum thermophilum	1	1.000
s__Delftia acidovorans	1	1.000
s__Clostridium butyricum	1	1.000
s__Verrucomicrobium sp. 3C	1	1.000
s__Rhodococcus aetherivorans	1	1.000
s__Leucobacter celer	1	1.000
s__Nitrospirae bacterium RIFCSPLOWO2_02_42_7	1	1.000
s__Paenibacillus antibioticophila	1	1.000
s__Firmicutes bacterium CAG:145	1	1.000
s__Lachnospiraceae bacterium NK4A179	1	1.000
s__Berkelbacteria bacterium GW2011_GWA2_38_9	1	1.000
s__Bdellovibrionales bacterium Ga0074139	1	1.000
s__Bombilactobacillus mellifer	1	1.000
s__Rhodothermus marinus	1	1.000
s__Rhodococcus defluvii	1	1.000
s__Candidatus Uhrbacteria bacterium GW2011_GWC1_41_20	1	1.000
s__Bdellovibrionales bacterium Ga0074137	1	1.000
s__Mesobacillus campisalis	1	1.000
s__Bacillus sp. OxB-1	1	1.000
s__Leptolinea tardivitalis	2	1.000
s__Ignavibacteria bacterium GWF2_33_9	1	1.000
s__Microbacterium sp. C448	1	1.000
s__Candidatus Azambacteria bacterium RIFCSPHIGHO2_01_FULL_40_24	1	1.000
s__Nocardia takedensis	1	1.000
s__Novosphingobium resinovorum	1	1.000
s__Brevundimonas subvibrioides	1	1.000
s__Halopiger salifodinae	1	1.000
s__Candidatus Nitrososphaera evergladensis	1	1.000
s__Nitritalea halalkaliphila	1	1.000
s__Streptomyces sp. NRRL F-5126	1	1.000
s__Candidatus Woykebacteria bacterium RIFCSPHIGHO2_12_FULL_43_10	1	1.000
s__Streptomyces kanamyceticus	1	1.000
s__Candidatus Peribacteria bacterium GW2011_GWB1_54_5	1	1.000
s__Parafilimonas terrae	1	1.000
s__Azospirillum sp. CAG:260	1	1.000
s__Johnsonella ignava	1	1.000
s__Candidatus Schekmanbacteria bacterium GWA2_38_11	1	1.000
s__Sphingobium sp. SYK-6	1	1.000
s__Candidatus Levybacteria bacterium RIFCSPHIGHO2_12_FULL_38_12	1	1.000
s__Roseivirga echinicomitans	1	1.000
s__Alkalihalobacillus alcalophilus	1	1.000
s__[Bacillus] selenitireducens	1	1.000
s__Corallococcus coralloides	1	1.000
s__Bartonella schoenbuchensis	1	1.000
s__Fibrobacter sp. UWB12	1	1.000
s__Candidatus Collierbacteria bacterium GW2011_GWC2_44_18	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_02_FULL_54_13	1	1.000
s__Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_44_22	1	1.000
s__Lactobacillus hamsteri	1	1.000
s__Prochlorococcus sp. MIT 0801	1	1.000
s__Ignavibacterium album	1	1.000
s__Methanoculleus sp. CAG:1088	1	1.000
s__Psychroserpens mesophilus	1	1.000
s__Lentilactobacillus diolivorans	1	1.000
s__Lentisphaera araneosa	1	1.000
s__Roseobacter sp. GAI101	1	1.000
s__Desulfurella acetivorans	1	1.000
s__Trichodesmium erythraeum	1	1.000
s__Bacillus sp. AP8	1	1.000
s__Salinibacter ruber	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_48_18	1	1.000
s__Borreliella valaisiana	1	1.000
s__Thermus amyloliquefaciens	1	1.000
s__Rossellomorea vietnamensis	1	1.000
s__Candidatus Rickettsiella isopodorum	1	1.000
s__Hoeflea sp. 108	1	1.000
s__Geitlerinema sp. BBD	1	1.000
s__Ligilactobacillus equi	1	1.000
s__Lactiplantibacillus herbarum	1	1.000
s__Streptococcus orisratti	1	1.000
s__Bacillus sp. UNC69MF	1	1.000
s__Mycolicibacterium vaccae	1	1.000
s__Candidatus Azambacteria bacterium RIFCSPHIGHO2_02_FULL_52_12	1	1.000
s__Tissierellia bacterium S7-1-4	1	1.000
s__Geomicrobium sp. JCM 19038	1	1.000
s__Geomicrobium sp. JCM 19039	1	1.000
s__Candidatus Moranbacteria bacterium RIFCSPHIGHO2_01_FULL_54_31	1	1.000
s__Lentisphaerae bacterium RIFOXYA12_FULL_48_11	1	1.000
s__Methanoculleus marisnigri	3	0.667
s__Streptococcus dysgalactiae	1	1.000
s__Geomicrobium sp. JCM 19037	1	1.000
s__Kingella oralis	1	1.000
s__Margalitia shackletonii	1	1.000
s__Nitrospirae bacterium RIFOXYC2_FULL_44_7	1	1.000
s__Robinsoniella peoriensis	1	1.000
s__Candidatus Margulisbacteria bacterium GWE2_39_32	1	1.000
s__Chromobacterium violaceum	1	1.000
s__Aromatoleum aromaticum	1	1.000
s__Sideroxydans lithotrophicus	1	1.000
s__Candidatus Moranbacteria bacterium GW2011_GWC2_37_73	1	1.000
s__Alkalihalobacillus bogoriensis	1	1.000
s__Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_47_11	1	1.000
s__Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_47_12	1	1.000
s__Salinivirga cyanobacteriivorans	1	1.000
s__Thermoflexibacter ruber	1	1.000
s__Clostridium clostridioforme CAG:132	1	1.000
s__Paraburkholderia sacchari	1	1.000
s__Croceibacterium mercuriale	1	1.000
s__Rossellomorea marisflavi	1	1.000
s__Candidatus Methylomirabilis oxyfera	1	1.000
s__Candidatus Azambacteria bacterium GW2011_GWF1_41_10	1	1.000
s__Fructobacillus fructosus	3	1.000
s__Candidatus Gottesmanbacteria bacterium GW2011_GWC2_42_8	1	1.000
s__Dermabacter vaginalis	1	1.000
s__Rickettsia japonica	1	1.000
s__Melissococcus plutonius	1	1.000
s__candidate division WWE3 bacterium RIFOXYC2_FULL_40_11	1	1.000
s__Candidatus Falkowbacteria bacterium RIFOXYC2_FULL_36_12	1	1.000
s__Legionella erythra	1	1.000
s__Candidatus Marispirochaeta associata	1	1.000
s__Oceanicola sp. MCTG156(1a)	1	1.000
s__Capnocytophaga sp. oral taxon 863	1	1.000
s__Methanomicrobiales archaeon Methan_06	1	1.000
s__Fulvimarina pelagi	1	1.000
s__Microterricola viridarii	1	1.000
s__Pseudarthrobacter sulfonivorans	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPHIGHO2_02_FULL_40_13b	1	1.000
s__Chamaesiphon minutus	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPHIGHO2_01_FULL_40_98	1	1.000
s__Geosporobacter ferrireducens	1	1.000
s__Lysobacter sp. A03	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_54_36	1	1.000
s__Corynebacterium riegelii	1	1.000
s__Dactylosporangium aurantiacum	1	1.000
s__Amycolatopsis benzoatilytica	1	1.000
s__Clostridium sulfidigenes	1	1.000
s__Halogranum salarium	1	1.000
s__Diaphorobacter nitroreducens	1	1.000
s__Candidatus Nomurabacteria bacterium GW2011_GWA1_40_8	1	1.000
s__Psychroflexus sediminis	1	1.000
s__Bacteriovorax sp. MedPE-SWde	1	1.000
s__Chloroflexi bacterium RBG_13_51_52	1	1.000
s__Roseivivax marinus	1	1.000
s__Phocaeicola paurosaccharolyticus	1	1.000
s__Alkalibacter saccharofermentans	1	1.000
s__Candidatus Photodesmus katoptron	1	1.000
s__Brachybacterium paraconglomeratum	1	1.000
s__Ligilactobacillus hayakitensis	1	1.000
s__Dyadobacter fermentans	1	1.000
s__Cellulosimicrobium cellulans	1	1.000
s__Corynebacterium atypicum	1	1.000
s__Elusimicrobia bacterium GWC2_51_8	1	1.000
s__Herbaspirillum chlorophenolicum	2	1.000
s__Bacteroidetes bacterium GWE2_41_25	1	1.000
s__Flavobacterium sp. Leaf359	1	1.000
s__Halothece sp. PCC 7418	1	1.000
s__Neobacillus jeddahensis	1	1.000
s__Photobacterium kishitanii	1	1.000
s__Butyrivibrio sp. VCB2006	1	1.000
s__Sphingobacterium sp. B29	1	1.000
s__Candidatus Falkowbacteria bacterium CG1_02_37_21	1	1.000
s__Chloroflexi bacterium RBG_13_56_8	1	1.000
s__Acinetobacter lwoffii	3	0.500
s__Melioribacter sp. GWF2_38_21	1	1.000
s__Fusicatenibacter saccharivorans	1	1.000
s__Anaeromyxobacter sp. Fw109-5	1	1.000
s__Clostridia bacterium BRH_c25	1	1.000
s__Methyloversatilis thermotolerans	1	1.000
s__Hylemonella gracilis	1	1.000
s__[Clostridium] methylpentosum	1	1.000
s__Marinococcus halotolerans	1	1.000
s__Nitrosospira lacus	1	1.000
s__Chlorobaculum tepidum	1	1.000
s__Pisciglobus halotolerans	1	1.000
s__Candidatus Uhrbacteria bacterium RIFCSPLOWO2_02_FULL_54_37	1	1.000
s__Jannaschia donghaensis	1	1.000
s__Rahnella aquatilis	1	1.000
s__Deltaproteobacteria bacterium RBG_13_43_22	1	1.000
s__Solirubrum puertoriconensis	1	1.000
s__Candidatus Woesebacteria bacterium RBG_16_34_12	1	1.000
s__Mycobacterium sp. M26	1	1.000
s__Arsenicicoccus sp. oral taxon 190	1	1.000
s__Candidatus Falkowbacteria bacterium GW2011_GWF1_38_22	1	1.000
s__Methanocaldococcus sp. FS406-22	1	1.000
s__Rhodovulum sp. PH10	1	1.000
s__gamma proteobacterium SCGC AAA076-P09	1	1.000
s__Lachnospiraceae bacterium oral taxon 500	1	1.000
s__Microgenomates bacterium OLB22	1	1.000
s__Microgenomates bacterium OLB23	1	1.000
s__Ensifer adhaerens	1	1.000
s__Fischerella major	1	1.000
s__candidate division WWE3 bacterium RIFOXYB1_FULL_42_27	1	1.000
s__Serinicoccus marinus	1	1.000
s__Candidatus Giovannonibacteria bacterium GW2011_GWB1_46_20	1	1.000
s__Candidatus Nitrosopelagicus brevis	1	1.000
s__Enhygromyxa salina	1	1.000
s__Phycicoccus sp. Root563	1	1.000
s__Algoriphagus marincola	2	1.000
s__Maridesulfovibrio bastinii	1	1.000
s__Prevotella sp. HUN102	1	1.000
s__Deltaproteobacteria bacterium GWA2_38_16	1	1.000
s__Niabella drilacis	1	1.000
s__Candidatus Curtissbacteria bacterium RIFCSPLOWO2_01_FULL_37_9	1	1.000
s__actinobacterium acMicro-1	1	1.000
s__actinobacterium acMicro-4	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_45_10	1	1.000
s__Acinetobacter gerneri	1	1.000
s__Nitrospirae bacterium GWC2_57_9	1	1.000
s__Marinilabilia salmonicolor	1	1.000
s__Paucibacter sp. KCTC 42545	1	1.000
s__candidate division WWE3 bacterium GW2011_GWB1_41_6	1	1.000
s__Virgibacillus halodenitrificans	1	1.000
s__Synechococcus sp. KORDI-100	1	1.000
s__Thermocrinis albus	1	1.000
s__halophilic archaeon J07HX64	1	1.000
s__Shewanella algae	1	1.000
s__Candidatus Woesebacteria bacterium RIFOXYC1_FULL_43_18	1	1.000
s__Cellulophaga sp. Hel_I_12	1	1.000
s__Streptomyces roseochromogenus	1	1.000
s__Nitrospinae bacterium RIFCSPLOWO2_12_FULL_47_7	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_43_22b	1	1.000
s__Herpetosiphon geysericola	1	1.000
s__Alkalihalobacillus rhizosphaerae	1	1.000
s__Palleronia marisminoris	1	1.000
s__Neptuniibacter sp. Phe_28	1	1.000
s__Deltaproteobacteria bacterium CG1_02_45_11	1	1.000
s__Aureimonas altamirensis	1	1.000
s__Halostagnicola larsenii	1	1.000
s__Arenimonas donghaensis	1	1.000
s__Ehrlichia canis	1	1.000
s__Desulfovibrio alaskensis	2	1.000
s__Smaragdicoccus niigatensis	1	1.000
s__Desulfofarcimen acetoxidans	1	1.000
s__Geopsychrobacter electrodiphilus	1	1.000
s__Flavobacterium psychrophilum	1	1.000
s__Pyrobaculum oguniense	1	1.000
s__Pediococcus acidilactici	1	1.000
s__Mitsuokella multacida	1	1.000
s__Geobacteraceae bacterium GWC2_53_11	1	1.000
s__Mycobacterium sp. JS623	1	1.000
s__Candidatus Yonathbacteria bacterium RIFCSPHIGHO2_01_FULL_51_10	1	1.000
s__Lactobacillus amylovorus	1	1.000
s__Sandaracinus amylolyticus	1	1.000
s__Arsukibacterium ikkense	1	1.000
s__Lachnoanaerobaculum sp. OBRC5-5	1	1.000
s__Enterococcus faecalis	7	0.714
s__Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_02_FULL_47_14	1	1.000
s__Nostoc piscinale	1	1.000
s__Microcystis aeruginosa	19	0.905
s__Sporosarcina sp. D27	1	1.000
s__Lentilactobacillus senioris	1	1.000
s__Thioalkalivibrio sulfidiphilus	1	1.000
s__Liquorilactobacillus cacaonum	1	1.000
s__Methanosaeta harundinacea	3	0.750
s__Erythrobacter sp. SG61-1L	1	1.000
s__Kocuria salsicia	1	1.000
s__Chrysiogenes arsenatis	1	1.000
s__Pseudobutyrivibrio sp. JW11	1	1.000
s__Ignavibacteria bacterium GWC2_35_8	1	1.000
s__Arcticibacter eurypsychrophilus	1	1.000
s__Mycobacterium heraklionense	2	1.000
s__Cohnella thermotolerans	1	1.000
s__Gramella forsetii	1	1.000
s__Candidatus Harrisonbacteria bacterium RIFCSPLOWO2_02_FULL_41_11	1	1.000
s__Candidatus Roizmanbacteria bacterium CG2_30_33_16	1	1.000
s__Corynebacterium ureicelerivorans	1	1.000
s__Propionibacteriaceae bacterium P6A17	1	1.000
s__Rhodovulum sulfidophilum	1	1.000
s__Mycobacterium sp. Root265	1	1.000
s__Rhodospira trueperi	1	1.000
s__Candidatus Nealsonbacteria bacterium RIFCSPLOWO2_01_FULL_43_32	1	1.000
s__Hymenobacter terrenus	1	1.000
s__Methanomassiliicoccales archaeon RumEn M1	1	1.000
s__Methanomassiliicoccales archaeon RumEn M2	1	1.000
s__Bacteroidetes bacterium GWE2_39_28	1	1.000
s__Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_42_80	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_01_FULL_33_34	1	1.000
s__Eubacterium sp. CAG:786	1	1.000
s__Tomitella biformata	1	1.000
s__Clostridiales bacterium GWE2_32_10	1	1.000
s__Planctomycetes bacterium RIFCSPLOWO2_12_38_17	1	1.000
s__Sphingomonas sp. Leaf343	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_02_FULL_46_40	1	1.000
s__Helcobacillus massiliensis	1	1.000
s__Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_47_11b	1	1.000
s__Thermophagus xiamenensis	1	1.000
s__Blattabacterium cuenoti	1	1.000
s__Candidatus Staskawiczbacteria bacterium RIFOXYC12_FULL_39_20	1	1.000
s__Gammaproteobacteria bacterium RIFCSPLOWO2_02_FULL_56_15	1	1.000
s__Methanosphaerula palustris	1	1.000
s__Clostridium tunisiense	1	1.000
s__Curtobacterium sp. Leaf261	1	1.000
s__Commensalibacter intestini	1	1.000
s__Allofrancisella guangzhouensis	1	1.000
s__Capnocytophaga sp. oral taxon 326	1	1.000
s__Candidatus Woesebacteria bacterium GW2011_GWB1_40_12	1	1.000
s__Ruminiclostridium cellulolyticum	1	1.000
s__Capnocytophaga sp. oral taxon 329	1	1.000
s__Thermoactinomyces sp. DSM 45892	1	1.000
s__Clostridia bacterium DTU068	1	1.000
s__Thermoactinomyces sp. DSM 45891	1	1.000
s__Prevotella sp. S7-1-8	1	1.000
s__Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_02_FULL_40_13	1	1.000
