Taxon	Count	Consistency
o__Sporichthyales	1	1.000
o__Rhodobacterales	180	0.989
o__Sneathiellales	1	1.000
o__Pirellulales	16	1.000
o__Hyphomicrobiales	317	0.975
o__Candidatus Nanosynbacterales	1	1.000
o__Rickettsiales	81	0.976
o__Micromonosporales	23	0.913
o__Nitrosopumilales	14	1.000
o__Oscillatoriales	40	0.575
o__Gemmatimonadales	4	1.000
o__Pleurocapsales	6	0.667
o__Acidimicrobiales	13	1.000
o__Methanocellales	3	1.000
o__Jatrophihabitantales	1	1.000
o__Rhodocyclales	17	0.708
o__Thermoproteales	31	1.000
o__Candidatus Gastranaerophilales	4	0.444
o__Nitrososphaerales	5	1.000
o__Nevskiales	9	0.889
o__Thermomicrobiales	1	1.000
o__Thermoanaerobacterales	37	0.610
o__Methanococcales	19	1.000
o__Chroococcidiopsidales	2	0.500
o__Sphingomonadales	112	0.991
o__Mesoaciditogales	1	1.000
o__Calditrichales	2	1.000
o__Syntrophorhabdales	1	1.000
o__Planctomycetales	9	0.778
o__Gloeoemargaritales	1	1.000
o__Blastocatellales	1	1.000
o__Ferrovales	2	1.000
o__Synechococcales	116	0.724
o__Candidatus Poseidoniales	13	1.000
o__Dictyoglomales	2	1.000
o__Candidatus Brocadiales	4	1.000
o__Bacteroidales	243	0.924
o__Candidatus Caenarcaniphilales	1	1.000
o__Thermoleophilales	1	1.000
o__Micrococcales	229	0.654
o__Corynebacteriales	271	0.989
o__Cenarchaeales	1	1.000
o__Mariprofundales	1	1.000
o__Thermosediminibacterales	8	1.000
o__Deinococcales	21	1.000
o__Puniceicoccales	3	0.750
o__Opitutales	6	0.833
o__Tissierellales	36	0.700
o__Kangiellales	2	1.000
o__Hyphomonadales	13	1.000
o__Thermoanaerobaculales	1	1.000
o__Marinilabiliales	18	0.944
o__Sulfolobales	95	1.000
o__Orbales	19	1.000
o__Lentisphaerales	1	1.000
o__Coriobacteriales	40	0.822
o__Nitrospinales	6	1.000
o__Cardiobacteriales	5	1.000
o__Burkholderiales	188	0.984
o__Methanomassiliicoccales	7	0.700
o__Chlamydiales	80	0.963
o__Desulfovibrionales	60	1.000
o__Actinopolysporales	3	1.000
o__Kordiimonadales	1	1.000
o__Ignavibacteriales	4	1.000
o__Acidilobales	6	1.000
o__Pasteurellales	53	1.000
o__Chroococcales	45	0.778
o__Aquificales	13	0.923
o__Thermoplasmatales	17	0.824
o__Desulfarculales	5	0.600
o__Desulfuromonadales	27	0.963
o__Cytophagales	105	1.000
o__Micropepsales	1	1.000
o__Acidiferrobacterales	1	1.000
o__Brachyspirales	5	0.800
o__Dehalococcoidales	30	1.000
o__Fibromonadales	1	1.000
o__Ardenticatenales	1	1.000
o__Streptomycetales	127	0.977
o__Propionibacteriales	57	1.000
o__Anaerolineales	16	0.889
o__Rubrobacterales	3	1.000
o__Methylacidiphilales	3	1.000
o__Nakamurellales	2	1.000
o__Petrotogales	6	0.857
o__Fusobacteriales	36	1.000
o__Ktedonobacterales	6	1.000
o__Thermotogales	25	0.920
o__Frankiales	9	0.889
o__Fibrobacterales	15	1.000
o__Parvularculales	2	1.000
o__Thermodesulfobacteriales	10	1.000
o__Victivallales	1	1.000
o__Chlorobiales	13	1.000
o__Candidatus Methanomethyliales	4	1.000
o__Candidatus Peribacterales	5	1.000
o__Bacillales	541	0.518
o__Glycomycetales	5	1.000
o__Flavobacteriales	287	1.000
o__Pelagibacterales	17	1.000
o__Phycisphaerales	2	0.500
o__Hydrogenophilales	2	1.000
o__Archaeoglobales	20	1.000
o__Natrialbales	29	0.967
o__Saprospirales	9	1.000
o__Nitriliruptorales	1	1.000
o__Eggerthellales	18	0.900
o__Cellvibrionales	47	0.959
o__Brevinematales	1	1.000
o__Spirochaetales	94	1.000
o__Bacteriovoracales	6	1.000
o__Chitinivibrionales	1	1.000
o__Caldisericales	2	1.000
o__Legionellales	92	1.000
o__Balneolales	5	0.833
o__Thermogemmatisporales	2	1.000
o__Parachlamydiales	11	0.786
o__Acidithiobacillales	19	0.950
o__Pseudonocardiales	54	0.930
o__Immundisolibacterales	1	1.000
o__Myxococcales	23	1.000
o__Bdellovibrionales	31	0.838
o__Thiotrichales	123	0.650
o__Sedimentisphaerales	3	1.000
o__Verrucomicrobiales	21	0.808
o__Kiritimatiellales	1	1.000
o__Neisseriales	50	0.962
o__Salinisphaerales	2	1.000
o__Methylococcales	22	1.000
o__Limnochordales	1	1.000
o__Rhodospirillales	95	0.889
o__Thermodesulfovibrionales	3	0.750
o__Desulfurobacteriales	4	1.000
o__Lactobacillales	489	1.000
o__Cryptosporangiales	1	1.000
o__Kineosporiales	4	0.750
o__Holosporales	7	0.571
o__Caulobacterales	23	1.000
o__Oligoflexales	1	1.000
o__Endomicrobiales	1	1.000
o__Alteromonadales	138	0.655
o__Bacteroidetes Order II. Incertae sedis	2	0.667
o__Coprothermobacterales	3	1.000
o__Spirulinales	2	1.000
o__Sphingobacteriales	75	0.880
o__Campylobacterales	106	0.991
o__Chthonomonadales	4	1.000
o__Oceanospirillales	93	0.734
o__Sphaerobacterales	2	1.000
o__Halanaerobiales	17	1.000
o__Acidaminococcales	12	1.000
o__Methanopyrales	1	1.000
o__Moraxellales	109	0.955
o__Actinomycetales	75	0.897
o__Nitrospirales	15	0.600
o__Xanthomonadales	68	1.000
o__Desulfurellales	5	1.000
o__Methanomicrobiales	34	0.941
o__Deferribacterales	7	1.000
o__Jiangellales	3	1.000
o__Thermococcales	38	1.000
o__Elusimicrobiales	1	1.000
o__Natranaerobiales	1	1.000
o__Kosmotogales	3	0.750
o__Selenomonadales	36	1.000
o__Methanonatronarchaeales	1	1.000
o__Trueperales	1	1.000
o__Chromatiales	57	0.413
o__Methanosarcinales	85	0.976
o__Nostocales	54	1.000
o__Geodermatophilales	10	1.000
o__Chthoniobacterales	1	1.000
o__Halobacteriales	34	0.676
o__Maricaulales	8	1.000
o__Gloeobacterales	2	1.000
o__Chrysiogenales	2	1.000
o__Bryobacterales	3	1.000
o__Nautiliales	4	0.750
o__Veillonellales	25	1.000
o__Vampirovibrionales	1	1.000
o__Methanobacteriales	34	1.000
o__Holophagales	2	1.000
o__Syntrophobacterales	19	0.632
o__Streptosporangiales	40	0.975
o__Enterobacterales	174	0.989
o__Silvanigrellales	1	1.000
o__Candidatus Altiarchaeales	5	1.000
o__Vibrionales	66	1.000
o__Acholeplasmatales	24	0.852
o__Fimbriimonadales	1	1.000
o__Magnetococcales	1	1.000
o__Nitrosomonadales	60	0.917
o__Isosphaerales	3	0.750
o__Caldilineales	1	1.000
o__Aeromonadales	22	0.500
o__Haloferacales	37	0.974
o__Solirubrobacterales	8	1.000
o__Entomoplasmatales	17	0.889
o__Thermofilales	4	1.000
o__Rhodothermales	1	1.000
o__Leptospirales	27	1.000
o__Pseudanabaenales	25	0.320
o__Acidothermales	1	1.000
o__Chitinophagales	44	0.843
o__Erysipelotrichales	54	0.783
o__Terrimicrobiales	1	1.000
o__Catenulisporales	2	1.000
o__Chloroflexales	9	1.000
o__Pseudomonadales	63	0.698
o__Candidatus Obscuribacterales	1	1.000
o__Desulfobacterales	47	0.712
o__Thermales	19	1.000
o__Chitinispirillales	1	1.000
o__Fervidicoccales	1	1.000
o__Desulfurococcales	19	0.731
o__Gemmatales	2	1.000
f__Hyellaceae	3	0.667
f__Blattabacteriaceae	8	1.000
f__Fusobacteriaceae	21	1.000
f__Barnesiellaceae	3	0.750
f__Phyllobacteriaceae	30	0.800
f__Thiovulaceae	27	0.897
f__Caldisericaceae	2	1.000
f__Ectothiorhodospiraceae	26	0.750
f__Crocinitomicaceae	8	1.000
f__Kiloniellaceae	3	1.000
f__Dysgonomonadaceae	10	0.714
f__Spirochaetaceae	10	1.000
f__Polyangiaceae	5	0.833
f__Chitinivibrionaceae	1	1.000
f__Nitrospiraceae	15	0.600
f__Zoogloeaceae	7	0.714
f__Calditrichaceae	2	1.000
f__Jatrophihabitantaceae	1	1.000
f__Kribbellaceae	2	1.000
f__Criblamydiaceae	1	1.000
f__Nannocystaceae	2	1.000
f__Afifellaceae	1	1.000
f__Gallionellaceae	5	1.000
f__Kineosporiaceae	4	0.750
f__Thermoanaerobaculaceae	1	1.000
f__Comamonadaceae	53	0.981
f__Actinopolymorphaceae	1	1.000
f__Atopobiaceae	25	0.806
f__Reichenbachiellaceae	1	1.000
f__Corynebacteriaceae	132	0.985
f__Pasteurellaceae	53	1.000
f__Prolixibacteraceae	7	1.000
f__Roseivirgaceae	8	1.000
f__Burkholderiaceae	37	0.919
f__Haloferacaceae	19	0.842
f__Nocardioidaceae	30	0.933
f__Pyrodictiaceae	4	1.000
f__Desulfocapsaceae	5	0.625
f__Hydrococcaceae	1	1.000
f__Streptosporangiaceae	15	0.933
f__Thermomonosporaceae	7	1.000
f__Tissierellaceae	6	0.833
f__Haloarculaceae	12	0.857
f__Porticoccaceae	6	1.000
f__Moraxellaceae	109	0.972
f__Morganellaceae	17	1.000
f__Salinarimonadaceae	1	1.000
f__Desulfonatronaceae	3	1.000
f__Rickettsiaceae	29	1.000
f__Saprospiraceae	3	1.000
f__Thermogemmatisporaceae	2	1.000
f__Halobacteroidaceae	7	1.000
f__Cryptosporangiaceae	1	1.000
f__Coriobacteriaceae	14	0.786
f__Catenulisporaceae	1	1.000
f__Gemmatimonadaceae	4	1.000
f__Azospirillaceae	10	0.667
f__Silvanigrellaceae	1	1.000
f__Pseudanabaenaceae	7	0.500
f__Tropherymataceae	1	1.000
f__Aeromonadaceae	11	1.000
f__Magnetococcaceae	1	1.000
f__Paenibacillaceae	125	0.969
f__Solibacteraceae	1	1.000
f__Bryobacteraceae	1	1.000
f__Perlucidibacaceae	1	1.000
