	kingdom	phylum	class	order	family	genus	species
N634						Acidiplasma	
N635							
N636							
N637						Thermoplasma	
N638							
N639							
N640							
N641					Haloferacaceae		
N642							
N643							
N644							
N645							
N646					Haloarculaceae_2	Natronomonas	
N647							
N648						Haladaptatus	
N649							
N650							
N651							
N652							
N653							
N654							
N655							
N656					Methanoregulaceae		
N657					Methanomicrobiaceae_1		
N658							
N659					Methanotrichaceae	Methanothrix	
N660							
N662							
N663							
N664							
N665							
N667							
N669							
N670							
N671							
N672							
N673							
N674							
N675							
N676							
N677							
N678		Candidatus Gottesmanbacteria					
N680							
N681							
N682		Candidatus Beckwithbacteria					
N683							
N684							
N685							
N686							
N687							
N688							
N689							
N690							
N691							
N692							
N693							
N694							
N695							
N696							
N697							
N698							
N699		Candidatus Jacksonbacteria					
N700							
N702							
N703							
N704							
N705							
N706							
N707							
N708		Candidatus Portnoybacteria					
N709		Candidatus Terrybacteria					
N710							
N711							
N712							
N713							
N714							
N715							
N716							
N717							
N718							
N719							
N720							
N722							
N723							
N724							
N725							
N726							
N728							
N729							
N730							
N731							
N732					Synechococcaceae_1	Synechococcus_1	Candidatus Synechococcus spongiarum
N733					Prochlorococcaceae		
N734							
N735							
N736							
N737							
N738							
N739						Deinococcus	
N740							
N741							
N742							
N743							
N744						Thermaerobacter	
N745							
N746							
N747							
N748							
N749						Halothermothrix	
N750							
N751			Clostridia_3				
N752			Negativicutes				
N753		Firmicutes_2					
N754							
N755							Fusobacterium nucleatum
N756							
N757							
N759							
N760							
N761							
N762							
N763							
N764							
N765							
N766							
N767							
N768							
N769					Spirochaetaceae		
N770					Treponemataceae		
N771							
N772							
N773							
N775							
N776							
N777							
N778							
N779							
N780							
N781							
N782		Proteobacteria_1					
N783							
N784							
N785							
N786							
N787							
N788							
N789							
N790							
N791					Nitrosopumilaceae		
N792							
N793						Thermoproteus	
N794						Pyrobaculum	
N795							
N796						Vulcanisaeta	
N797				Desulfurococcales_4	Desulfurococcaceae_3	Ignicoccus	
N798							
N799					Sulfolobaceae		
N800							
N801							
N802							
N803							
N804							
N805							
N806							
N807							
N808							
N809							
N810							
N811							
N812							
N813							
N814							
N815							
N816							
N817							
N818							
N819							
N820							
N821					Haloarculaceae_1		
N822							
N823							
N824						Geoglobus	
N825							
N826							
N827							
N828						Methanofollis	
N829						Methanoculleus	
N830							
N831							
N832							Methanosaeta harundinacea
N833					Candidatus Methanoperedenaceae	Candidatus Methanoperedens	
N834					Methanosarcinaceae		
N835							
N837							
N838							
N839							
N840							
N842							
N843							
N844							
N845							
N846							
N847							
N848							
N849							
N850							
N851							
N852							
N853							
N854							
N855							
N856							
N857							
N858							
N859							
N861							
N862							
N863							
N864							
N865							
N866							
N867							
N868							
N869							
N870							
N871							
N872							
N873							
N874							
N875							
N876							
N877							
N878							
N879							
N880							
N881							
N882							
N883							
N884							
N885							
N886							
N887							
N888							
N889							
N890		Candidatus Spechtbacteria					
N891							
N892							
N893		Candidatus Yanofskybacteria					
N894							
N895							
N896							
N897							Jonquetella anthropi
N898							
N899						Aminobacterium	
N900							Thermovirga lienii
N901							
N902							
N903							
N906							
N907							
N908							
N909							
N910							
N911				Pseudanabaenales_2	Pseudanabaenaceae_1	Pseudanabaena	
N912							
N913		Candidatus Fervidibacteria					
N914							
N915							
N916		Chloroflexi					
N917							
N918						Thermus	
N919							
N920							
N921							
N922							
N923			Coriobacteriia				
