taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
455343	0.5916079783099616	0.5916079783099616	0.1084178245770483	1.0995574287564276	sphere	Micrococcus endophyticus	Micrococcus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
455432	0.916515138991168	0.316227766016838	0.06370410713413197	0.9105200545246142	rods	Nocardia terpenica	Nocardia	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
479117	0.7483314773547882	0.3872983346207417	0.07295155515414145	0.910520054524614	rods	Brevibacterium ravenspurgense	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
494023	1.8165902124584952	0.2449489742783178	0.08175714750015535	1.3979204810774084	rods-coccus	Paeniglutamicibacter antarcticus	Paeniglutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
501483	1.1313708498984762	0.4898979485566356	0.18247718510771688	1.7412473896648493	rods	Leucobacter tardus	Leucobacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
587636	1.7320508075688772	0.6324555320336759	0.4779092208316246	3.4414423257272864	rods	Pedococcus cremeus	Pedococcus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
629680	0.9797958971132712	0.9797958971132712	0.4924991347821557	3.0159289474462017	coccus	Brevibacterium sandarakinum	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
630515	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	coccus	Microlunatus soli	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
642766	1.1489125293076057	1.1489125293076057	0.7940713355718091	4.1469023027385274	coccus	Marmoricola korecus	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
642780	0.7745966692414834	0.7745966692414834	0.2433467205584167	1.8849555921538759	coccus	Marmoricola scoriae	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
648782	0.648074069840786	0.34641016151377546	0.05019674591841023	0.7052858015123398	rods	Ruania alba	Ruania	Ruaniaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
