taxid	length	width	volume	surface	order	class	phylum	superkingdom
203491	2.0088452889693715	0.4592449636317307	0.28845499252695184	2.8982828423426197	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
204433	1.7797854404913802	0.6518287654614523	0.5140642312448986	3.6446098497610535	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
204441	1.9630104978259195	0.7333298766279542	0.702205345095165	4.522430212421614	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
204455	1.7274842959396293	0.6701985852483893	0.5202675264884594	3.6372025545856452	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
204457	1.389728568625311	0.5370059110599279	0.2696698264620475	2.3445468975781005	Sphingomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
204458	1.9050450383804478	0.5579978337517342	0.4152297062698879	3.3395475627860374	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
206351	1.6576681953967711	0.5820661980183711	0.38092324323469245	3.0312367474300177	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
206389	1.6680713299183703	0.5275544673967227	0.32381256720048446	2.7645967663307878	Rhodocyclales	Betaproteobacteria	Proteobacteria	Bacteria
213113	1.736848756754007	0.5425826830234937	0.3582048587077918	2.9605868348728577	Desulfurellales	Deltaproteobacteria	Proteobacteria	Bacteria
213115	2.4193277585044957	0.5904649707959574	0.6038200593557328	4.487853994727579	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
213118	2.797449193095082	0.8906151897187219	1.5331996373930605	7.8271233536187115	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
213462	2.0	1.1989578808281798	1.8063177688273342	7.533274540746791	Syntrophobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
213481	0.95	0.5	0.15380714033200027	1.4922565104551515	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria
213849	1.9900117183563137	0.44788153511501966	0.28686221801456446	2.800068555833913	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
225057	1.3643500455889714	1.0298835719535588	0.8352306945089237	4.414320004923944	Acidithiobacillales	Acidithiobacillia	Proteobacteria	Bacteria
235899	1.347094970635097	0.5185373883718335	0.24522659207112424	2.194462497965373	Nautiliales	Epsilonproteobacteria	Proteobacteria	Bacteria
255473	1.4295196269765478	0.6563046383179032	0.4050166959725954	2.947443364072816	Parvularculales	Alphaproteobacteria	Proteobacteria	Bacteria
278081	0.8	0.8	0.26808257310632905	2.010619298297468	Lentisphaerales	Lentisphaeria	Lentisphaerae	Bacteria
292629	100.00000000000004	0.30476168981692764	7.28704525964258	95.74370858244701	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
332160	1.05	0.65	0.2765256033628516	2.144136986075034	Bryobacterales	Acidobacteriia	Acidobacteria	Bacteria
362534	2.022853836677498	0.5334119473886842	0.40226808270492026	3.389823725681576	Kordiimonadales	Alphaproteobacteria	Proteobacteria	Bacteria
388448	1.4142135623730951	0.8366600265340756	0.6241785562578653	3.71718255692737	Ktedonobacterales	Ktedonobacteria	Chloroflexi	Bacteria
414714	1.7460803214421976	0.6546877610394285	0.48076627603318367	3.591272108903196	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
415000	0.5477225575051661	0.5477225575051661	0.08603605814318215	0.9424777960769378	Opitutales	Opitutae	Verrucomicrobia	Bacteria
415001	0.9329199906264262	0.8362150777608833	0.3526734904727329	2.4508247979955002	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
475963	100.00000000000004	0.5	19.60222916146132	157.0796326794897	Caldilineales	Caldilineae	Chloroflexi	Bacteria
485256	3.831547161967767	0.4188859364120028	0.5050848500678834	5.042197212564458	Natranaerobiales	Clostridia	Firmicutes	Bacteria
510684	0.85	0.25	0.037633661996127735	0.667588438887831	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria
526525	3.0800702882410227	0.6467843638084009	0.9406307164926796	6.258496478852291	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
