taxid	length	width	volume	surface	family	order	class	phylum	superkingdom
85028	2.3643540225079396	0.7952707287670506	1.0405314020242264	5.907141525153634	Tsukamurellaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
85030	1.6894908204711565	1.4380363967907612	1.9431846430102864	7.632654206908921	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria
85031	1.1465313506452401	1.1465313506452401	0.7891443035767604	4.129730790872744	Nakamurellaceae	Nakamurellales	Actinomycetia	Actinobacteria	Bacteria
85032	10.000000000000002	0.4	1.2398819006167718	12.566370614359172	Acidothermaceae	Acidothermales	Actinomycetia	Actinobacteria	Bacteria
85033	15.811388300841893	0.7745966692414834	7.3292678390678665	38.476494904855926	Sporichthyaceae	Sporichthyales	Actinomycetia	Actinobacteria	Bacteria
125316	1.760681686165901	0.6324555320336759	0.4869038766182477	3.498329523837171	Beutenbergiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
145357	1.1956711411590188	1.0909824045964627	0.7707250808694874	4.098069941613675	Dermacoccaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
145358	1.4142135623730951	0.7071067811865476	0.4628003060581633	3.141592653589794	Bogoriellaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
316606	1.2111151885762146	0.4	0.13543806234413655	1.521932231632821	Segniliparaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
320599	1.4	0.7	0.4489859500755412	3.078760800517997	Solirubrobacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
414877	0.9797958971132712	0.6324555320336759	0.2415813708002067	1.9467737644673335	Catenulisporaceae	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
1042322	0.848528137423857	0.2958039891549808	0.05153672452726303	0.7885334978735079	Demequinaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1331736	0.640217174588736	0.46806946386414316	0.08154213659061484	0.9414288486576894	Ruaniaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1643824	0.864175660815655	0.4931693703640425	0.13111507260356897	1.3388995599159925	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
1643826	0.7205896267537512	0.43737068749201624	0.08433686892840103	0.9901193589410817	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
2805426	1.0977201950002402	1.0977201950002402	0.6925858024945634	3.7855865583000146	Kytococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
2805590	0.6708203932499369	0.6708203932499369	0.15805833144841633	1.413716694115407	Ornithinimicrobiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
2805591	1.5811388300841898	0.223606797749979	0.05916417052329199	1.1107207345395915	Tropherymataceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
