taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
573139	1.8870189227385414	0.6947523477468721	0.6249611823724117	4.118661982299863	Shimia	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
574347	2.5	0.8	1.1225957748827529	6.2831853071795845	Modicisalibacter	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
574559	3.888444419044716	0.3666060555964673	0.3975551817581786	4.4784260016636335	Hellea	Robiginitomaculaceae	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria
574697	1.5	1.0	0.9162978572970228	4.712388980384692	Butyricimonas	Odoribacteraceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
574891	1.925969957949331	0.45298688016454036	0.2860551205745958	2.7408483380825817	Croceitalea	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
574892	1.296148139681572	0.4472135954999579	0.1801824245759161	1.821040109049228	Kriegella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
574899	1.352071911820558	0.8118002149401208	0.5518020343664947	3.448250639619382	Haloferula	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
576341	2.449489742783178	0.6324555320336759	0.7032993096584776	4.866934411168334	Halovibrio	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
577309	1.499166435056495	0.8986100377805714	0.7607571483858924	4.232246830271661	Paraprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
577310	1.4186260959111108	0.7984359711335656	0.5708759490751519	3.558425778551537	Parasutterella	Sutterellaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
577469	1.413854555840836	0.47411533694673524	0.2184869970005706	2.105904209174041	Demequina	Demequinaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
580374	1.4282856857085702	0.5656854249492381	0.31157659405560445	2.5382824415401717	Klugiella	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
580596	1.3416407864998738	1.3416407864998738	1.2644666515873306	5.6548667764616285	Butyricicoccus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
580880	1.710294371053051	1.1592963407048094	1.3564584198297203	6.2289551532967815	Amorphus	Amorphaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
582472	1.75	0.75	0.6626797003665971	4.123340357836604	Wohlfahrtiimonas			Gammaproteobacteria	Proteobacteria	Bacteria
582491	3.4278273002005224	1.161895003862225	3.223834918186189	12.512257982166126	Rubidibacter	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria
591374	4.5	0.6	1.21579635693925	8.482300164692441	Caldanaerovirga	Thermosediminibacteraceae	Thermosediminibacterales	Clostridia	Firmicutes	Bacteria
596499	2.25	0.4	0.2659881780039359	2.827433388230814	Nitriliruptor	Nitriliruptoraceae	Nitriliruptorales	Nitriliruptoria	Actinobacteria	Bacteria
596707	3.1	0.7	1.1032226201856157	6.8172560582898525	Sinomonas	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
596767	8.249999999999998	0.3499999999999999	0.7825183701316575	9.071348787240527	Hydrogenoanaerobacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
599651	3.15	0.45	0.4771293842639498	4.453207586463533	Bermanella	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
599652	1.5844158427660762	0.5808382443681714	0.36510708881128345	2.8911741557721955	Tropicimonas	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
599653	2.25	0.4	0.2659881780039359	2.827433388230814	Tropicibacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
600332	2.85	2.25	8.349764224619122	20.14546289114455	Zavarzinella	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
613121	0.86	0.86	0.3330381428119515	2.323521926595011	Smaragdicoccus	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
623276	1.7593615742420519	0.46321338610859986	0.2701314988743709	2.5602718217914964	Maritalea	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
623282	0.7071067811865476	0.5	0.10611516834255527	1.1107207345395915	Psychrilyobacter	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
626119	0.640217174588736	0.46806946386414316	0.08154213659061484	0.9414288486576894	Ruania	Ruaniaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
630749	1.4494614311723786	0.5545980243855742	0.3048848923491776	2.5254272048815283	Spongiibacter	Spongiibacteraceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
633405	2.15	0.65	0.6415393998018157	4.390375733391736	Lacticigenium	Carnobacteriaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
633413	2.1	0.3	0.1413716694115407	1.9792033717615696	Pseudozobellia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
638847	1.5	0.75	0.5522330836388308	3.5342917352885173	Pyramidobacter	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria
643217	1.4142135623730951	0.6	0.3433107966696367	2.66572976289502	Afifella	Afifellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
643701	4.5	0.3499999999999999	0.4217260888209548	4.948008429403924	Marinoscillum	Reichenbachiellaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
643949	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	Ferrithrix	Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
643951	1.85	0.75	0.7068583470577035	4.358959806855838	Pelagibius	Rhodovibrionaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
644355	1.095445115010332	0.3872983346207417	0.11384491717987219	1.33286488144751	Inhella		Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
644652	1.0	0.55	0.19402607128264462	1.7278759594743864	Gordonibacter	Eggerthellaceae	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
647744	2.5	0.6	0.6503096792930871	4.712388980384692	Indibacter	Cyclobacteriaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
648799	3.25	0.65	1.0065531962407797	6.636614480708438	Thermotalea	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
648800	1.98997487421324	0.5291502622129179	0.3988295910796526	3.308083638593178	Solibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
648802	2.98	1.105	2.504564286314221	10.344950449005825	Rummeliibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
649460	5.284728802821189	0.42796527757346525	0.706810246123964	7.105278620513764	Filimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
649461	1.9231870428487674	0.47287080450158786	0.3086587737882014	2.8570240625006287	Lacibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
649462	4.795774997739184	0.3594431818738023	0.46766407272285426	5.415504511672253	Gracilimonas	Balneolaceae	Balneolales	Balneolia	Balneolaeota	Bacteria
650341	1.4071247279470291	0.6324555320336759	0.3758306823616516	2.7958409621548173	Leeia	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
651456	1.0	0.55	0.19402607128264462	1.7278759594743864	Kosmotoga	Kosmotogaceae	Kosmotogales	Thermotogae	Thermotogae	Bacteria
651660	2.0561818089171835	0.4605779351596907	0.3168201861266407	2.9751886855225798	Paenisporosarcina	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
651700	2.3	0.65	0.6913140084071289	4.696681017116741	Marispirillum	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
651810	6.999999999999999	1.25	8.078965482864376	27.48893571891069	Phaselicystis	Phaselicystidaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	Bacteria
