taxid	length	width	volume	surface	class	phylum	superkingdom
183925	2.7198880646440715	0.4751256712146734	0.438652520428708	4.059844505101647	Methanobacteria	Euryarchaeota	Archaea
183939	1.317027913795693	1.317027913795693	1.1961442626354453	5.449288887984799	Methanococci	Euryarchaeota	Archaea
183963	2.138297068904424	0.777099785727049	0.8548466273992696	5.220290874368142	Halobacteria	Euryarchaeota	Archaea
183968	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococci	Euryarchaeota	Archaea
183980	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobi	Euryarchaeota	Archaea
186801	3.571678161671312	0.6350612960014593	1.0444720124019704	7.125869037386493	Clostridia	Firmicutes	Bacteria
187857	1.8307935074996566	0.4755787773842296	0.29376447134145345	2.7353424311708032	Aquificae	Aquificae	Bacteria
188708	2.6291670967500305	0.6693060539599819	0.8220897903145069	5.528315428164656	Thermotogae	Thermotogae	Bacteria
188787	2.10389132646105	1.00177025842021	1.30919236133426	6.621270181284903	Deinococci	Deinococcus-Thermus	Bacteria
189775	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Thermomicrobia	Chloroflexi	Bacteria
200643	2.5609239084250666	0.6273799159435949	0.7032007138539703	5.0475096632027805	Bacteroidia	Bacteroidetes	Bacteria
203486	13.160740129524926	0.41195342878142355	1.7339583919197203	17.032496497858244	Dictyoglomia	Dictyoglomi	Bacteria
203490	2.7171431064822897	0.5960181201464558	0.6731091276568134	5.087704142369624	Fusobacteriia	Fusobacteria	Bacteria
203494	1.7172491657108802	0.7001111596242284	0.5525895898962783	3.7770278491300164	Verrucomicrobiae	Verrucomicrobia	Bacteria
203683	1.7707327059128388	1.5618990376697792	2.3658731522447582	8.688720738440281	Planctomycetia	Planctomycetes	Bacteria
203692	10.313332551147033	0.25618489572297687	0.5241904999835305	8.30046485784119	Spirochaetia	Spirochaetes	Bacteria
204429	0.6689093073995175	0.5900553340859005	0.12576921565721436	1.239966215258851	Chlamydiia	Chlamydiae	Bacteria
204430	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacteria	Fibrobacteres	Bacteria
204432	1.711158413439756	0.6429198331504702	0.4791193436262539	3.4561844586488792	Acidobacteriia	Acidobacteria	Bacteria
219685	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadetes	Gemmatimonadetes	Bacteria
224756	1.5755494940404038	0.9490650542878368	0.8158345697555431	4.697620246803303	Methanomicrobia	Euryarchaeota	Archaea
292625	100.00000000000004	0.30476168981692753	7.2870452596425785	95.74370858244701	Anaerolineae	Chloroflexi	Bacteria
301297	0.686383738883785	0.4210105254861512	0.07100047155509077	0.9078410414992856	Dehalococcoidia	Chloroflexi	Bacteria
307596	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacteria	Cyanobacteria	Bacteria
388447	1.4142135623730951	0.8512160931922469	0.6432949737058543	3.781853457129655	Ktedonobacteria	Chloroflexi	Bacteria
414999	0.8163777548208162	0.7589390374157118	0.2515162831618609	1.946470952691576	Opitutae	Verrucomicrobia	Bacteria
475962	100.00000000000004	0.5	19.60222916146132	157.0796326794897	Caldilineae	Chloroflexi	Bacteria
526524	3.0800702882410227	0.6467843638084009	0.9406307164926795	6.258496478852291	Erysipelotrichia	Firmicutes	Bacteria
533205	2.018722971596451	0.36716477906900674	0.19787357102482833	2.3285609591144523	Holophagae	Acidobacteria	Bacteria
649775	2.9705101942901346	0.7142571613250063	1.0701338315016036	6.665542828398362	Synergistia	Synergistetes	Bacteria
693071	4.95	0.3	0.3428262983229862	4.665265090580842	Caldisericia	Caldiserica	Bacteria
768503	2.5609480522712165	0.5874405036180578	0.6293703384433579	4.726226482005185	Cytophagia	Bacteroidetes	Bacteria
795747	4.723156822715971	0.2719393264843193	0.26768467331013107	4.035099571200831	Ignavibacteria	Ignavibacteriae	Bacteria
908620	1.641633530292823	0.475414303570666	0.25286717690356775	2.4518750293284466	Nitriliruptoria	Actinobacteria	Bacteria
909932	2.049037072129545	0.6019580218072609	0.48493439053291887	3.874948143573092	Negativicutes	Firmicutes	Bacteria
1077257	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Chthonomonadetes	Armatimonadetes	Bacteria
1313207	1.0	1.0	0.5235987755982988	3.1415926535897927	Oligosphaeria	Lentisphaerae	Bacteria
1313211	0.8031068545740871	0.8031068545740871	0.27121806943661014	2.0262663770721696	Lentisphaeria	Lentisphaerae	Bacteria
1495646	4.0	0.3	0.2756747553525044	3.769911184307752	Thermoflexia	Chloroflexi	Bacteria
1497346	1.2423221948388086	0.5514387293364482	0.25153673101294877	2.152193828352622	Thermoleophilia	Actinobacteria	Bacteria
1553900	1.8493242008906927	0.5477225575051662	0.38452439575899466	3.18217128946851	Oligoflexia	Proteobacteria	Bacteria
