taxid	length	width	volume	surface	class	phylum	superkingdom
183963	2.160784494239191	0.816164909090887	0.9461055536221293	5.540376082719143	Halobacteria	Euryarchaeota	Archaea
183968	1.15	1.15	0.7963282878380625	4.1547562843725006	Thermococci	Euryarchaeota	Archaea
183980	2.2	0.4	0.2597049926967563	2.7646015351590183	Archaeoglobi	Euryarchaeota	Archaea
186801	3.483127352251683	0.6179298494226128	0.9643159088765423	6.761738964820973	Clostridia	Firmicutes	Bacteria
187857	1.8307935074996564	0.4755787773842296	0.29376447134145345	2.735342431170804	Aquificae	Aquificae	Bacteria
188708	2.6291670967500314	0.6693060539599819	0.8220897903145069	5.528315428164653	Thermotogae	Thermotogae	Bacteria
188787	2.10389132646105	1.00177025842021	1.30919236133426	6.621270181284903	Deinococci	Deinococcus-Thermus	Bacteria
189775	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Thermomicrobia	Chloroflexi	Bacteria
200643	2.557896715173612	0.6203691349945423	0.6875142506801389	4.985205428653886	Bacteroidia	Bacteroidetes	Bacteria
203486	10.000000000000002	0.4898979485566356	1.8541743962299917	15.39059796194237	Dictyoglomia	Dictyoglomi	Bacteria
203490	2.0088452889693715	0.4592449636317307	0.28845499252695184	2.8982828423426197	Fusobacteriia	Fusobacteria	Bacteria
203494	1.4724329092748214	0.7142169636042999	0.4855154263577363	3.303813696085137	Verrucomicrobiae	Verrucomicrobia	Bacteria
203683	1.8109003580369532	1.5648777970772536	2.446307980641971	8.902763897741558	Planctomycetia	Planctomycetes	Bacteria
203692	12.000008461448497	0.2436633969592678	0.5453631712532994	9.185900131195469	Spirochaetia	Spirochaetes	Bacteria
204432	1.7440265728082052	0.651758333280223	0.5019499150959496	3.5709976398080814	Acidobacteriia	Acidobacteria	Bacteria
224756	2.7897048295149105	0.7324320741192052	0.979840549829248	6.419119804787323	Methanomicrobia	Euryarchaeota	Archaea
292625	100.00000000000004	0.30476168981692764	7.28704525964258	95.74370858244701	Anaerolineae	Chloroflexi	Bacteria
301297	0.686383738883785	0.4210105254861512	0.07100047155509077	0.9078410414992856	Dehalococcoidia	Chloroflexi	Bacteria
388447	1.4142135623730951	0.8512160931922469	0.6432949737058543	3.781853457129655	Ktedonobacteria	Chloroflexi	Bacteria
414999	0.8386633119926828	0.7683631365144628	0.26597104141822653	2.024435937595205	Opitutae	Verrucomicrobia	Bacteria
475962	100.00000000000004	0.5	19.60222916146132	157.0796326794897	Caldilineae	Chloroflexi	Bacteria
526524	3.0800702882410227	0.6467843638084009	0.9406307164926796	6.258496478852291	Erysipelotrichia	Firmicutes	Bacteria
533205	3.358571124749333	0.8366600265340756	1.6931449571926307	8.82781945618518	Holophagae	Acidobacteria	Bacteria
649775	2.9705101942901346	0.7142571613250063	1.0701338315016036	6.665542828398362	Synergistia	Synergistetes	Bacteria
693071	4.95	0.3	0.3428262983229862	4.665265090580842	Caldisericia	Caldiserica	Bacteria
