	name	ori	ogt	d	sptid	name_alt	taxID_rank
175	Streptococcus mutans UA159	1553	37	0.75	1309	Streptococcus mutans	species
176	Streptococcus pneumoniae TIGR4	1559	37	0.5	1313	Streptococcus pneumoniae	species
177	Streptococcus pyogenes M1	1588	37	0.4	1314	Streptococcus pyogenes	species
178	Streptococcus thermophilus LMG18311	1551	37	0.43	1308	Streptococcus thermophilus	species
179	Sulfolobus acidocaldarius	-1	70	5.67	2285		species
180	Sulfolobus solfataricus	-1	87	6.0	2287	Saccharolobus solfataricus	species
181	Sulfolobus tokodaii	-1	80	6.0	111955	Sulfurisphaera tokodaii	species
182	Syntrophus aciditrophicus	1529	35	24.0	316277		species
183	Synechococcus elongatus PCC6301	1620819	32	6.1	32046	Synechococcus elongatus	species
184	Syntrophobacter fumaroxidans	3503182	37	97.86	119484		species
185	Synechocystis PCC6803	665000	35	12.0	1148	Synechocystis sp. PCC 6803	species
186	Symbiobacterium thermophilum	1378	60	4.2	2734		species
187	Synechococcus sp WH8102	2434168	32	6.0	1131	Synechococcus sp.	species
188	Thermoplasma acidophilum	-1	59	2.5	2303		species
189	Thiomicrospira crunogena	2427456	30	1.0	39765	Hydrogenovibrio crunogenus	species
190	Thermosynechococcus elongatus BP-1	2338968	55	5.4	146786	"Thermosynechococcus elongatus AM1
Thermosynechococcus elongatus PKUAC-SCTE731
Thermosynechococcus elongatus PKUAC-SCTE711
Thermosynechococcus elongatus PKUAC-SCTE642
Thermosynechococcus elongatus PKUAC-SCTE633
Thermosynechococcus elongatus PKUAC-SCTE632
Thermosynechococcus elongatus PKUAC-SCTE624
Thermosynechococcus elongatus PKUAC-SCTE623
Thermosynechococcus elongatus PKUAC-SCTE613
Thermosynechococcus elongatus PKUAC-SCTE611
Thermosynechococcus elongatus PKUAC-SCTE581
Thermosynechococcus elongatus PKUAC-SCTE572
Thermosynechococcus elongatus PKUAC-SCTE543
Thermosynechococcus elongatus PKUAC-SCTE542
Thermosynechococcus elongatus PKUAC-SCTE535
Thermosynechococcus elongatus PKUAC-SCTE534
Thermosynechococcus elongatus PKUAC-SCTE525
Thermosynechococcus elongatus PKUAC-SCTE514
Thermosynechococcus elongatus PKUAC-SCTE513
Thermosynechococcus elongatus PKUAC-SCTE211"	species
191	Thermotoga maritima	156961	80	1.2	2336		species
